Date,Year,IPO_Name,Issue_Size_Cr,Subscription_Times,Issue_Price,Listing_Open,Listing_Close,Listing_Gain_Pct,Current_Gain_Pct,Status
2019-12-12,2019,Ujjivan Small,750.0,165.68,37.0,58.75,55.9,51.08,-22.16,Winner
2019-12-04,2019,CSB Bank,409.68,35.24,195.0,275.0,300.1,53.9,79.38,Winner
2019-10-14,2019,IRCTC,635.04,111.95,320.0,644.0,728.6,127.69,628.0,Winner
2019-08-20,2019,Sterling & Wils,3125.0,0.85,780.0,700.0,725.35,-7.01,-63.32,Loser
2019-07-04,2019,Indiamart Inter,474.12,36.21,973.0,1180.0,1302.55,33.87,633.37,Winner
2019-05-08,2019,Neogen,131.48,41.18,0.0,251.0,263.55,0.0,,Loser
2019-04-15,2019,Metropolis,1200.18,5.84,880.0,960.0,959.55,9.04,224.43,Winner
2019-04-11,2019,Rail Vikas,430.88,1.82,19.0,19.0,19.05,0.26,56.05,Winner
2019-04-01,2019,Embassy Office,4750.0,2.57,300.0,300.0,314.1,4.7,20.84,Winner
2019-03-29,2019,MSTC,213.81,1.46,128.0,111.0,114.2,-10.78,121.91,Loser
2019-02-07,2019,Chalet Hotels,1628.84,1.57,280.0,291.0,290.4,3.71,-37.02,Winner
2019-02-04,2019,Xelpmoc Design ,23.0,3.25,66.0,56.0,58.8,-10.91,534.7,Loser
2018-10-08,2018,AAVAS Financier,1729.2,0.97,821.0,758.0,773.15,-5.83,207.34,Loser
2018-08-23,2018,CreditAccess Gr,1126.44,2.22,422.0,393.0,420.8,-0.28,56.98,Loser
2018-07-30,2018,TCNS Clothing C,1121.98,5.27,716.0,715.0,657.8,-8.13,-18.34,Loser
2018-07-02,2018,RITES,453.6,67.24,185.0,190.0,170.16,-8.02,49.68,Loser
2018-07-02,2018,Fine Organics,597.87,8.99,783.0,815.0,822.8,5.08,282.9,Winner
2018-05-21,2018,Indostar Capita,1844.0,6.8,572.0,600.6,585.5,2.36,-40.83,Winner
2018-04-05,2018,ICICI Securitie,4016.0,0.36,520.0,435.0,444.9,-14.44,40.69,Loser
2018-04-04,2018,Mishra Dhatu Ni,438.38,1.21,0.0,93.1,90.0,0.0,,Loser
2018-03-28,2018,Hindustan Aeron,4229.0,0.99,1215.0,1159.0,1128.35,-7.13,-8.1,Loser
2018-03-27,2018,Bandhan Bank,4473.0,14.63,375.0,485.0,477.2,27.25,-22.32,Winner
2018-03-23,2018,Bharat Dynamics,960.94,1.3,428.0,360.0,390.7,-8.71,-1.89,Loser
2018-03-09,2018,HG Infra Engg,457.7,4.98,270.0,270.0,270.05,0.02,95.74,Winner
2018-02-26,2018,Aster DM Health,980.14,1.31,190.0,182.0,179.85,-5.34,-14.05,Loser
2018-02-08,2018,Galaxy Surfacta,937.09,20.0,1480.0,1525.0,1698.1,14.74,110.81,Winner
2018-01-30,2018,Amber Enterpris,600.0,165.42,859.0,1175.0,1237.25,44.03,248.35,Winner
